Target in-degree, Target out-degree
22, 22
23, 20
39, 23
38, 21
29, 24
84, 21
25, 20
21, 32
22, 40
24, 57
33, 75
22, 38
27, 20
23, 26
22, 36
24, 26
20, 31
27, 47
20, 24
20, 31
43, 20
43, 23
20, 21
21, 23
57, 25
22, 31
25, 25
27, 21
27, 45
28, 40
32, 20
24, 34
33, 20
31, 36
25, 32
26, 23
32, 25
32, 35
26, 40
21, 25
24, 23
22, 41
42, 36
58, 25
31, 27
23, 25
28, 32
22, 24
34, 20
22, 22
32, 37
28, 25
23, 24
23, 38
22, 24
23, 28
35, 27
26, 30
24, 25
21, 21
21, 26
29, 32
22, 60
21, 21
68, 25
23, 31
22, 101
22, 27
23, 26
24, 28
85, 35
22, 34
24, 36
25, 39
23, 29
20, 24
22, 31
21, 25
29, 23
27, 29
35, 49
24, 21
47, 28
30, 23
21, 21
55, 21
72, 22
68, 24
21, 25
22, 24
21, 23
35, 23
20, 99
41, 31
23, 25
24, 21
24, 33
22, 23
24, 96
28, 27
21, 27
33, 21
36, 32
26, 44
22, 34
23, 24
21, 21
33, 21
21, 29
41, 25
21, 22
28, 26
20, 46
39, 25
45, 25
20, 20
21, 36
22, 45
27, 31
36, 35
26, 21
22, 28
22, 79
35, 23
28, 30
36, 33
67, 25
23, 20
24, 21
25, 23
29, 26
23, 32
23, 26
29, 58
22, 25
32, 35
28, 65
25, 39
56, 22
22, 27
88, 20
23, 59
26, 30
87, 48
40, 25
22, 26
20, 27
23, 24
21, 67
23, 24
25, 21
22, 21
21, 31
54, 20
20, 21
29, 20
22, 20
62, 34
31, 56
31, 27
24, 54
21, 24
26, 25
39, 29
24, 22
21, 43
23, 23
78, 24
21, 49
25, 21
21, 21
21, 23
22, 21
21, 52
20, 41
26, 25
37, 30
49, 23
21, 34
20, 27
20, 21
25, 23
26, 25
36, 29
24, 23
33, 26
25, 43
47, 30
109, 21
29, 20
64, 22
25, 35
48, 24
21, 21
22, 22
30, 22
24, 22
28, 76
31, 25
28, 21
34, 24
30, 23
23, 28
20, 23
31, 29
23, 30
42, 40
25, 35
23, 29
47, 26
47, 28
35, 23
40, 24
23, 27
46, 65
33, 31
24, 25
20, 30
21, 20
20, 37
31, 24
26, 28
22, 20
24, 27
30, 23
21, 28
20, 55
73, 41
24, 23
25, 23
22, 22
20, 29
32, 21
23, 40
21, 24
30, 39
34, 22
25, 20
22, 57
28, 104
23, 32
28, 23
30, 27
22, 21
45, 31
24, 21
84, 25
39, 31
26, 22
27, 29
29, 23
26, 24
27, 20
25, 38
20, 21
38, 23
43, 25
29, 27
21, 45
31, 101
28, 21
21, 28
28, 20
23, 22
22, 63
40, 51
22, 24
24, 39
25, 43
31, 25
20, 27
36, 49
20, 25
26, 21
24, 22
21, 20
24, 23
30, 21
23, 20
22, 28
20, 21
27, 23
27, 66
21, 21
40, 43
27, 44
25, 24
37, 26
47, 23
29, 23
29, 33
24, 21
21, 21
21, 24
21, 25
21, 21
28, 29
25, 22
28, 29
23, 25
26, 42
24, 20
23, 22
26, 22
28, 22
27, 22
20, 126
23, 21
21, 26
26, 22
20, 27
24, 29
22, 47
46, 43
27, 22
24, 21
21, 34
21, 24
20, 31
28, 29
58, 22
56, 59
22, 23
20, 23
42, 27
27, 49
22, 20
27, 25
57, 26
23, 26
32, 32
29, 42
26, 38
23, 28
27, 62
22, 26
21, 22
25, 24
27, 26
31, 25
21, 23
24, 23
23, 20
36, 23
26, 21
39, 23
55, 26
22, 26
24, 25
21, 20
25, 24
26, 29
29, 20
21, 22
28, 36
31, 34
21, 21
21, 26
21, 64
38, 29
21, 31
91, 21
22, 21
28, 29
30, 32
29, 21
21, 22
38, 39
23, 50
21, 50
32, 37
31, 48
64, 40
24, 21
37, 23
34, 20
20, 33
21, 22
65, 31
64, 29
25, 28
37, 30
40, 30
26, 21
28, 29
21, 24
26, 37
23, 25
30, 33
27, 26
21, 24
26, 21
21, 29
24, 21
24, 23
36, 45
20, 29
27, 43
23, 21
20, 20
38, 21
24, 23
20, 31
40, 31
26, 25
22, 27
41, 38
31, 20
26, 21
22, 49
26, 20
37, 26
31, 24
24, 21
28, 26
21, 25
30, 26
38, 30
22, 31
24, 34
22, 31
24, 21
27, 21
21, 21
22, 24
20, 35
24, 41
23, 21
23, 35
22, 59
23, 24
24, 20
54, 22
32, 22
20, 21
20, 22
47, 24
23, 25
27, 25
27, 42
41, 28
30, 23
26, 21
25, 38
41, 34
35, 22
22, 22
22, 21
26, 102
24, 27
21, 24
35, 21
40, 21
27, 25
28, 22
23, 26
38, 21
38, 23
21, 23
22, 20
21, 20
22, 23
23, 25
26, 38
25, 47
24, 29
23, 22
33, 22
24, 23
30, 20
27, 20
26, 24
21, 24
35, 22
33, 20
23, 49
21, 27
23, 23
20, 36
22, 26
32, 29
22, 21
47, 20
23, 23
24, 20
23, 78
21, 49
24, 22
23, 22
25, 21
22, 36
20, 23
24, 23
31, 25
21, 70
20, 50
28, 22
20, 26
22, 23
43, 29
23, 22
28, 24
22, 21
29, 26
23, 21
28, 27
20, 30
56, 24
20, 30
40, 22
29, 44
21, 23
21, 21
42, 24
26, 33
21, 47
20, 33
23, 22
37, 20
33, 21
22, 24
32, 22
21, 30
28, 21
24, 26
24, 21
24, 26
24, 27
31, 22
20, 22
21, 21
21, 21
49, 26
23, 33
28, 21
50, 38
27, 30
21, 31
24, 31
43, 34
22, 22
40, 29
36, 22
22, 26
26, 23
36, 28
25, 20
32, 24
27, 21
21, 22
22, 21
20, 40
35, 21
27, 22
39, 25
20, 21
34, 42
33, 28
21, 20
21, 31
23, 109
23, 39
20, 21
22, 27
22, 25
34, 26
27, 37
24, 24
66, 20
28, 37
26, 29
54, 23
26, 31
50, 31
34, 21
24, 21
21, 35
20, 21
50, 23
30, 21
34, 25
30, 24
23, 21
36, 22
21, 25
21, 29
21, 21
65, 29
35, 44
24, 27
20, 37
33, 21
29, 34
22, 27
21, 46
33, 44
24, 25
23, 31
27, 21
20, 31
27, 21
24, 30
22, 23
23, 20
22, 33
28, 22
27, 24
24, 22
22, 27
38, 23
26, 28
22, 48
21, 26
28, 30
29, 29
24, 22
35, 37
78, 20
22, 23
21, 25
21, 31
32, 31
21, 21
20, 23
32, 39
29, 22
25, 47
22, 27
25, 39
23, 21
26, 32
24, 23
27, 24
24, 35
32, 25
22, 42
22, 20
28, 23
21, 28
31, 50
25, 24
22, 98
23, 24
27, 35
22, 44
54, 36
29, 23
21, 22
32, 27
21, 25
21, 23
24, 23
24, 20
30, 27
29, 24
26, 21
38, 32
21, 21
21, 33
20, 25
29, 55
23, 23
23, 25
28, 20
21, 30
27, 21
21, 86
25, 25
20, 21
21, 30
27, 28
43, 24
23, 21
28, 26
37, 28
20, 26
27, 23
39, 44
38, 25
67, 49
21, 26
21, 22
26, 27
33, 27
32, 40
22, 23
25, 21
34, 40
22, 24
24, 21
21, 25
28, 29
37, 25
27, 30
61, 26
28, 21
21, 31
24, 28
22, 22
22, 20
21, 25
24, 27
29, 21
25, 52
28, 45
20, 30
24, 29
23, 22
21, 52
50, 21
25, 26
22, 27
22, 30
22, 27
47, 25
28, 20
62, 20
27, 28
22, 20
27, 36
70, 28
26, 23
23, 42
28, 24
36, 26
26, 23
21, 36
47, 24
26, 21
73, 25
28, 27
25, 27
28, 20
22, 36
21, 37
28, 21
25, 21
25, 34
20, 21
22, 44
29, 34
22, 33
28, 21
21, 21
23, 21
28, 59
32, 21
26, 24
21, 35
22, 22
29, 39
24, 21
20, 42
49, 21
107, 21
20, 29
65, 22
24, 27
24, 27
32, 31
33, 24
30, 26
25, 22
47, 28
20, 21
49, 31
20, 23
39, 20
22, 34
21, 22
68, 21
40, 52
24, 23
26, 36
47, 23
26, 30
30, 22
22, 21
25, 21
35, 26
22, 31
22, 23
21, 21
23, 22
53, 25
25, 47
29, 23
39, 21
29, 24
45, 27
30, 25
23, 24
30, 26
27, 21
30, 24
32, 104
21, 20
22, 22
21, 28
25, 21
21, 20
20, 35
24, 43
44, 21
23, 35
29, 20
22, 80
24, 80
26, 20
21, 22
24, 46
22, 26
51, 25
31, 21
21, 22
22, 22
22, 22
21, 28
21, 118
30, 25
35, 24
25, 21
23, 45
21, 42
48, 22
21, 23
21, 23
39, 21
36, 27
22, 59
36, 24
22, 20
29, 23
30, 37
23, 24
22, 21
34, 33
22, 21
30, 23
20, 28
26, 21
54, 31
25, 35
38, 23
24, 21
22, 22
25, 25
23, 22
37, 20
20, 21
24, 23
23, 22
21, 26
23, 34
37, 24
24, 24
27, 23
21, 20
21, 20
23, 27
21, 28
35, 27
21, 21
34, 66
21, 36
21, 26
21, 24
31, 22
60, 21
20, 34
25, 25
22, 21
37, 23
21, 20
23, 26
27, 24
21, 24
20, 22
26, 35
22, 29
28, 24
22, 34
36, 62
20, 33
20, 21
27, 27
27, 34
29, 24
21, 36
25, 26
23, 20
57, 25
25, 78
33, 20
34, 20
31, 24
24, 53
22, 22
45, 22
20, 78
24, 28
26, 20
24, 22
25, 27
21, 49
21, 24
151, 20
48, 25
20, 30
26, 38
32, 22
22, 21
21, 26
24, 21
35, 25
21, 22
21, 29
22, 26
44, 30
21, 77
28, 22
24, 28
23, 23
21, 23
20, 29
22, 35
43, 25
202, 21
20, 24
22, 37
50, 22
21, 20
55, 23
27, 38
20, 32
37, 29
20, 22
23, 23
27, 25
30, 28
21, 53
24, 20
25, 24
21, 25
42, 23
23, 36
27, 24
41, 26
31, 25
24, 33
22, 22
25, 22
25, 34
27, 21
22, 23
32, 23
22, 21
24, 31
28, 26
22, 26
37, 26
23, 24
72, 22
20, 31
32, 24
25, 20
30, 62
22, 22
33, 39
23, 20
21, 21
24, 24
22, 35
21, 44
23, 24
24, 21
61, 34
28, 52
20, 28
29, 34
21, 21
34, 33
21, 20
20, 42
48, 23
48, 21
24, 23
27, 29
21, 32
27, 25
21, 20
29, 21
35, 22
20, 38
45, 31
28, 91
41, 24
33, 20
25, 33
44, 24
21, 36
26, 25
21, 21
21, 23
40, 32
35, 20
32, 25
21, 26
32, 22
24, 29
50, 20
28, 35
26, 24
36, 20
22, 31
25, 23
27, 20
35, 32
21, 135
21, 20
32, 42
20, 25
23, 22
21, 21
24, 25
32, 23
26, 24
21, 21
36, 20
21, 20
32, 27
23, 23
27, 21
21, 32
21, 21
33, 42
20, 37
24, 24
20, 25
25, 25
64, 22
37, 26
29, 20
27, 25
20, 31
26, 34
23, 40
21, 43
20, 22
28, 21
23, 24
20, 24
22, 25
35, 23
53, 23
34, 46
27, 28
24, 22
29, 20
33, 30
34, 23
25, 21
21, 28
86, 22
36, 28
24, 21
20, 24
27, 23
47, 24
29, 40
30, 25
33, 22
21, 22
26, 33
23, 23
25, 21
28, 79
21, 36
27, 21
20, 24
34, 24
28, 39
42, 22
22, 35
27, 40
29, 23
23, 25
27, 25
30, 21
22, 20
25, 31
21, 21
31, 22
50, 23
24, 84
32, 22
24, 23
21, 23
27, 23
21, 21
21, 35
25, 26
22, 21
20, 20
22, 22
20, 29
134, 21
33, 31
24, 30
20, 35
30, 34
20, 21
21, 21
24, 32
25, 27
49, 29
24, 24
22, 30
25, 22
30, 30
25, 30
23, 25
36, 21
22, 22
39, 22
20, 26
20, 21
30, 22
22, 21
68, 31
30, 44
24, 21
23, 27
35, 34
36, 25
25, 23
22, 40
33, 20
20, 74
22, 42
22, 22
25, 22
23, 21
25, 27
22, 25
23, 20
23, 30
21, 29
23, 47
25, 21
24, 99
25, 28
39, 22
29, 43
22, 47
34, 24
21, 22
30, 26
24, 21
21, 30
28, 25
30, 20
21, 35
30, 25
31, 21
29, 21
21, 21
34, 20
23, 25
52, 27
24, 31
20, 27
78, 31
21, 24
46, 22
21, 26
32, 33
27, 50
27, 22
24, 23
25, 21
25, 28
22, 22
30, 27
31, 28
21, 21
23, 21
30, 23
42, 38
31, 35
21, 36
23, 41
27, 63
36, 21
22, 22
25, 31
23, 66
23, 27
22, 20
21, 73
30, 23
21, 21
25, 36
24, 23
29, 21
21, 35
20, 26
30, 27
26, 26
33, 33
34, 22
25, 21
22, 40
32, 25
52, 44
25, 28
22, 27
31, 29
24, 21
20, 21
23, 22
44, 23
33, 27
57, 23
21, 31
21, 50
20, 27
21, 22
25, 38
32, 24
32, 22
20, 67
35, 33
28, 22
55, 30
23, 23
46, 22
29, 30
37, 28
20, 71
23, 21
45, 23
29, 20
28, 21
39, 24
26, 28
28, 27
27, 24
23, 22
29, 23
57, 95
28, 40
22, 22
27, 20
43, 27
20, 22
29, 53
28, 23
59, 22
25, 36
29, 94
25, 23
26, 20
32, 47
23, 24
22, 22
24, 38
21, 28
21, 31
30, 20
23, 31
22, 63
29, 45
23, 28
21, 32
25, 39
32, 48
21, 23
97, 48
22, 23
23, 25
27, 33
23, 32
24, 25
25, 21
25, 33
36, 33
32, 25
30, 20
21, 40
35, 27
31, 27
26, 44
43, 26
36, 21
36, 21
28, 24
62, 57
21, 23
24, 28
25, 45
24, 23
29, 21
35, 23
22, 57
22, 20
26, 119
28, 21
44, 26
27, 31
29, 24
49, 22
40, 43
22, 20
22, 29
30, 32
27, 21
21, 22
23, 42
28, 26
38, 42
27, 24
42, 22
25, 34
31, 21
26, 24
26, 25
30, 24
23, 50
25, 28
27, 21
24, 21
22, 25
24, 27
23, 20
21, 22
61, 31
27, 38
58, 21
28, 30
22, 21
21, 32
28, 33
21, 20
31, 28
28, 23
34, 20
25, 21
25, 47
30, 38
101, 38
20, 57
27, 29
35, 26
33, 25
22, 128
28, 23
32, 22
21, 49
22, 37
27, 50
21, 23
65, 28
25, 25
26, 21
23, 26
20, 24
26, 27
20, 23
21, 37
34, 24
37, 24
31, 27
31, 39
26, 20
30, 21
58, 39
25, 48
25, 50
24, 21
21, 31
28, 21
21, 21
31, 21
25, 42
20, 22
22, 37
31, 20
24, 24
43, 59
25, 27
20, 24
25, 26
23, 76
25, 32
20, 26
25, 30
29, 27
39, 24
32, 23
23, 32
28, 27
27, 23
28, 20
34, 26
127, 22
21, 20
30, 27
27, 20
27, 20
34, 29
27, 22
23, 22
39, 22
30, 27
27, 20
23, 22
27, 64
26, 22
20, 23
33, 20
28, 47
20, 23
26, 28
23, 21
29, 21
33, 22
25, 21
26, 23
23, 22
51, 51
22, 23
21, 41
22, 31
21, 22
21, 45
22, 31
36, 23
20, 23
67, 24
25, 28
27, 22
44, 20
24, 25
23, 33
31, 23
31, 106
28, 40
40, 45
27, 20
22, 29
45, 25
24, 32
36, 24
21, 34
39, 27
24, 25
42, 23
25, 23
35, 43
21, 26
22, 35
26, 38
29, 24
33, 22
24, 67
55, 23
25, 23
21, 22
33, 21
21, 28
34, 26
21, 30
43, 28
20, 30
26, 21
22, 32
44, 34
27, 27
22, 23
39, 28
23, 35
52, 35
21, 20
21, 54
22, 22
27, 20
32, 30
30, 28
23, 30
23, 38
34, 28
27, 30
24, 22
22, 28
27, 21
22, 46
66, 21
31, 21
22, 36
21, 24
20, 29
24, 34
23, 21
24, 30
38, 35
26, 29
24, 21
23, 38
23, 28
25, 46
35, 31
37, 33
45, 26
46, 21
24, 201
26, 24
29, 67
22, 20
21, 29
33, 66
25, 23
28, 48
25, 87
33, 36
28, 22
31, 24
103, 27
22, 44
21, 21
20, 26
21, 26
94, 36
26, 22
41, 28
44, 29
28, 24
72, 22
23, 24
22, 21
22, 40
23, 20
23, 23
27, 26
22, 31
30, 22
22, 39
38, 22
30, 24
25, 27
20, 24
22, 29
34, 22
44, 21
29, 21
22, 51
20, 27
56, 23
59, 26
46, 22
22, 28
26, 26
25, 23
37, 21
32, 23
33, 34
32, 20
24, 26
22, 23
29, 40
25, 42
35, 26
25, 33
42, 24
23, 35
29, 27
24, 22
21, 52
27, 20
21, 23
23, 43
21, 21
43, 27
29, 21
55, 23
82, 25
22, 34
128, 31
26, 41
21, 41
30, 38
25, 21
20, 28
21, 28
29, 22
69, 20
21, 21
21, 20
30, 35
21, 28
21, 21
21, 23
44, 21
21, 25
98, 22
23, 29
21, 37
36, 21
25, 45
36, 21
21, 35
21, 22
46, 23
22, 27
21, 23
22, 23
25, 23
29, 24
25, 33
39, 25
20, 22
21, 21
20, 76
23, 26
42, 22
30, 20
20, 44
22, 50
22, 25
26, 24
41, 35
30, 23
21, 23
32, 28
21, 28
21, 22
37, 22
24, 42
22, 33
24, 21
105, 21
21, 20
21, 24
54, 23
51, 25
31, 36
23, 24
21, 25
34, 53
21, 55
26, 22
21, 24
25, 26
22, 32
23, 31
44, 23
44, 20
23, 70
25, 23
22, 24
34, 20
22, 21
24, 24
27, 22
24, 30
21, 57
53, 23
23, 25
44, 28
22, 22
24, 21
27, 23
21, 51
22, 29
22, 27
21, 20
27, 23
21, 20
35, 30
22, 22
24, 24
21, 23
33, 26
35, 30
21, 20
52, 26
21, 26
39, 23
25, 21
20, 30
30, 21
31, 23
25, 39
23, 23
26, 27
26, 71
20, 30
23, 34
22, 21
25, 24
21, 24
63, 23
61, 36
29, 24
64, 30
21, 29
36, 41
71, 23
32, 23
29, 23
41, 22
23, 42
47, 28
30, 21
33, 21
26, 55
27, 26
22, 27
23, 53
20, 23
28, 21
251, 25
20, 71
35, 34
22, 25
21, 21
30, 24
20, 28
20, 32
33, 36
48, 23
33, 26
38, 20
21, 22
20, 21
26, 28
23, 26
21, 23
25, 52
21, 33
24, 22
50, 21
29, 98
33, 31
31, 26
26, 29
41, 23
22, 31
24, 23
52, 24
25, 25
20, 33
94, 21
21, 25
21, 22
22, 26
26, 22
30, 22
22, 25
52, 51
20, 25
27, 47
37, 35
29, 22
21, 27
28, 28
20, 30
24, 20
40, 25
26, 95
33, 36
26, 23
20, 22
25, 22
31, 24
21, 32
55, 33
29, 34
27, 23
20, 31
53, 29
23, 20
23, 32
