Target in-degree, Target out-degree
26, 25
28, 26
21, 22
22, 34
24, 22
24, 62
39, 27
22, 34
29, 44
32, 22
29, 22
24, 26
43, 30
22, 31
35, 45
20, 23
23, 29
43, 25
45, 21
23, 23
23, 30
22, 22
23, 26
20, 96
24, 34
22, 21
20, 29
29, 45
23, 38
28, 21
33, 30
26, 21
23, 24
28, 22
27, 55
27, 71
28, 39
22, 56
24, 22
53, 37
20, 22
51, 20
39, 27
59, 22
24, 27
24, 22
23, 60
23, 30
24, 20
72, 20
65, 27
118, 28
24, 22
27, 37
25, 25
29, 25
31, 28
26, 27
22, 25
36, 29
21, 22
43, 24
22, 22
21, 27
22, 21
28, 22
29, 28
40, 21
37, 24
61, 22
60, 28
34, 29
22, 23
22, 25
37, 21
21, 60
23, 20
24, 26
23, 26
21, 27
28, 34
40, 22
24, 32
24, 22
21, 23
26, 21
20, 23
37, 22
29, 21
33, 26
22, 50
25, 26
104, 41
21, 23
24, 22
49, 20
20, 34
23, 25
26, 31
31, 31
21, 22
41, 21
28, 31
24, 23
37, 22
37, 20
21, 23
27, 21
22, 30
24, 27
67, 23
28, 20
21, 53
25, 31
29, 22
25, 34
25, 23
48, 21
21, 23
24, 45
26, 22
62, 30
27, 27
36, 35
22, 22
24, 22
29, 20
22, 37
157, 34
27, 29
20, 20
25, 26
23, 24
29, 24
32, 21
23, 23
23, 23
20, 79
44, 37
34, 22
21, 22
25, 34
22, 32
28, 22
26, 22
52, 26
22, 24
21, 28
34, 31
20, 26
37, 24
39, 22
32, 40
22, 29
31, 229
40, 38
22, 23
28, 25
21, 22
32, 28
25, 30
22, 31
21, 23
23, 44
20, 24
25, 41
37, 23
21, 27
22, 23
22, 49
23, 21
33, 26
25, 24
20, 27
30, 32
22, 21
24, 24
45, 26
32, 22
24, 34
29, 45
29, 25
22, 33
21, 24
21, 24
23, 23
26, 21
43, 20
27, 44
28, 22
29, 38
25, 21
23, 24
28, 20
28, 21
37, 23
20, 25
36, 22
22, 55
30, 23
23, 21
32, 42
22, 28
48, 36
26, 26
21, 22
24, 27
23, 30
78, 57
33, 28
20, 27
53, 20
21, 33
23, 24
31, 20
34, 21
21, 26
64, 23
21, 43
22, 31
24, 23
52, 38
45, 22
26, 42
22, 23
26, 22
52, 25
23, 21
22, 28
25, 65
29, 22
20, 34
35, 20
21, 20
45, 23
31, 23
29, 29
22, 27
48, 32
25, 21
21, 20
24, 20
25, 31
21, 30
24, 27
29, 20
43, 31
39, 31
32, 20
31, 29
24, 24
20, 20
21, 22
28, 20
103, 21
21, 21
21, 27
21, 27
23, 22
23, 30
38, 108
33, 32
31, 28
25, 25
29, 21
21, 20
28, 21
21, 33
23, 32
36, 23
42, 20
25, 20
27, 27
27, 48
36, 47
28, 29
46, 24
24, 28
20, 46
21, 30
21, 22
32, 32
24, 38
26, 33
28, 23
21, 25
24, 28
26, 20
22, 21
49, 20
20, 26
31, 77
58, 21
28, 98
21, 31
29, 22
90, 24
57, 24
22, 25
21, 45
39, 23
24, 22
56, 56
22, 21
21, 21
22, 21
32, 47
21, 30
21, 33
30, 21
25, 23
23, 25
35, 23
42, 21
36, 20
20, 29
24, 24
51, 23
24, 21
26, 25
23, 31
29, 21
28, 34
36, 31
27, 26
46, 21
44, 22
27, 31
28, 25
36, 24
26, 37
21, 51
22, 21
23, 30
22, 35
21, 28
26, 38
33, 21
28, 27
47, 22
21, 37
23, 20
21, 41
32, 32
23, 27
22, 41
24, 23
36, 31
24, 21
24, 30
52, 27
23, 25
25, 21
29, 21
32, 27
23, 41
24, 28
46, 26
26, 29
23, 39
22, 26
32, 30
43, 27
24, 23
30, 37
20, 28
24, 24
21, 44
26, 34
20, 23
23, 23
22, 35
77, 21
23, 25
34, 30
23, 20
22, 21
32, 21
30, 21
25, 24
20, 26
20, 25
54, 22
23, 26
171, 23
37, 23
31, 20
21, 30
21, 26
22, 56
22, 27
20, 25
30, 33
28, 24
54, 21
37, 63
28, 44
24, 27
21, 35
21, 21
21, 49
25, 46
63, 29
28, 21
22, 37
21, 25
24, 21
81, 21
39, 27
26, 35
30, 24
33, 23
23, 22
45, 24
20, 20
26, 22
51, 20
21, 44
30, 32
20, 50
27, 21
24, 20
22, 24
21, 20
20, 30
41, 31
21, 29
20, 24
41, 73
37, 44
82, 23
21, 47
23, 22
36, 21
307, 39
20, 27
66, 24
28, 21
39, 33
22, 42
25, 21
28, 27
34, 30
20, 29
29, 40
27, 29
22, 30
27, 28
52, 24
30, 52
22, 30
26, 22
21, 21
24, 20
48, 29
45, 24
34, 26
20, 27
22, 20
22, 43
47, 38
26, 21
26, 21
33, 25
26, 25
24, 36
21, 66
20, 23
21, 25
23, 20
21, 22
25, 55
35, 25
26, 20
26, 35
52, 25
29, 25
28, 22
