Target in-degree, Target out-degree
501, 465
158, 115
295, 291
197, 136
200, 164
574, 113
217, 574
153, 435
263, 258
117, 256
370, 144
129, 202
190, 381
292, 171
105, 469
1752, 589
233, 145
1704, 130
1856, 176
192, 180
507, 144
217, 152
115, 754
113, 370
192, 131
151, 126
210, 221
326, 4140
140, 154
164, 146
116, 150
117, 322
265, 109
1023, 232
199, 161
5000, 143
299, 215
266, 445
167, 353
202, 716
1530, 569
107, 184
159, 389
177, 274
110, 511
1420, 127
116, 108
849, 386
116, 464
145, 262
120, 144
998, 527
552, 210
241, 128
132, 110
109, 121
954, 115
258, 136
680, 105
845, 1374
593, 530
116, 1971
743, 102
323, 5000
468, 5000
252, 1457
140, 201
387, 112
103, 149
144, 133
166, 157
167, 142
190, 5000
217, 149
104, 173
134, 683
130, 160
507, 111
160, 197
109, 119
190, 300
110, 385
121, 543
570, 122
117, 115
168, 209
190, 472
488, 1409
462, 150
135, 515
380, 197
294, 1985
652, 186
105, 129
1559, 113
158, 169
414, 178
118, 1099
134, 2195
110, 161
109, 189
833, 216
135, 308
187, 105
5000, 337
587, 366
124, 196
309, 104
1463, 338
132, 755
490, 244
138, 224
103, 169
186, 136
157, 213
265, 174
5000, 201
1752, 132
122, 169
136, 120
113, 111
804, 140
230, 223
145, 199
135, 215
157, 106
114, 264
242, 116
103, 105
161, 159
227, 5000
447, 219
195, 356
425, 281
115, 103
484, 128
112, 302
196, 287
128, 453
117, 185
146, 197
196, 172
113, 108
214, 114
112, 937
190, 284
808, 133
123, 157
1938, 1529
5000, 108
1837, 456
139, 106
182, 397
316, 287
212, 531
112, 561
144, 238
132, 166
275, 407
200, 362
284, 2085
159, 210
125, 218
747, 118
191, 682
126, 173
273, 187
183, 109
127, 116
351, 358
1403, 510
219, 130
162, 422
256, 102
207, 112
363, 120
106, 111
302, 132
261, 215
159, 110
163, 226
198, 102
102, 1381
109, 128
107, 456
1204, 3772
241, 185
126, 1924
129, 487
1937, 357
850, 306
737, 1287
398, 214
120, 158
107, 206
178, 177
108, 1142
178, 108
625, 201
137, 868
140, 123
706, 661
268, 107
492, 587
619, 392
222, 358
172, 170
280, 120
1357, 469
205, 3822
143, 1441
169, 155
637, 579
169, 316
149, 294
231, 247
579, 174
180, 183
189, 132
140, 145
2928, 537
103, 162
129, 288
213, 118
178, 104
115, 358
2135, 207
108, 491
152, 186
192, 290
114, 105
133, 1406
183, 307
162, 1038
949, 284
