N,K,r
200, 0.000000, 0.076690
200, 0.025000, 0.076573
200, 0.050000, 0.076477
200, 0.075000, 0.076407
200, 0.100000, 0.072648
200, 0.125000, 0.073052
200, 0.150000, 0.073465
200, 0.175000, 0.073887
200, 0.200000, 0.074321
200, 0.225000, 0.074769
200, 0.250000, 0.075232
200, 0.275000, 0.075715
200, 0.300000, 0.076221
200, 0.325000, 0.076755
200, 0.350000, 0.077329
200, 0.375000, 0.077946
200, 0.400000, 0.078616
200, 0.425000, 0.079358
200, 0.450000, 0.080178
200, 0.475000, 0.081100
200, 0.500000, 0.082139
200, 0.525000, 0.083322
200, 0.550000, 0.084664
200, 0.575000, 0.086187
200, 0.600000, 0.087908
200, 0.625000, 0.089852
200, 0.650000, 0.091989
200, 0.675000, 0.094276
200, 0.700000, 0.096636
200, 0.725000, 0.098838
200, 0.750000, 0.100676
200, 0.775000, 0.102739
200, 0.800000, 0.105723
200, 0.825000, 0.084095
200, 0.850000, 0.085197
200, 0.875000, 0.086282
200, 0.900000, 0.087307
200, 0.925000, 0.088206
200, 0.950000, 0.088857
200, 0.975000, 0.089216
200, 1.000000, 0.089579
200, 1.025000, 0.090149
200, 1.050000, 0.090838
200, 1.075000, 0.091515
200, 1.100000, 0.092036
200, 1.125000, 0.092506
200, 1.150000, 0.093348
200, 1.175000, 0.094524
200, 1.200000, 0.095911
200, 1.225000, 0.101115
200, 1.250000, 0.107512
200, 1.275000, 0.115833
200, 1.300000, 0.117295
200, 1.325000, 0.123882
200, 1.350000, 0.125252
200, 1.375000, 0.129498
200, 1.400000, 0.133358
200, 1.425000, 0.144082
200, 1.450000, 0.148522
200, 1.475000, 0.154618
200, 1.500000, 0.160944
200, 1.525000, 0.170999
200, 1.550000, 0.177865
200, 1.575000, 0.178016
200, 1.600000, 0.235144
200, 1.625000, 0.251169
200, 1.650000, 0.262661
200, 1.675000, 0.279672
200, 1.700000, 0.308577
200, 1.725000, 0.330677
200, 1.750000, 0.343237
200, 1.775000, 0.400361
200, 1.800000, 0.436471
200, 1.825000, 0.462534
200, 1.850000, 0.533139
200, 1.875000, 0.595671
200, 1.900000, 0.633996
200, 1.925000, 0.656287
200, 1.950000, 0.672526
200, 1.975000, 0.690737
200, 2.000000, 0.707435
200, 2.025000, 0.720816
200, 2.050000, 0.730631
200, 2.075000, 0.738462
200, 2.100000, 0.747987
200, 2.125000, 0.758036
200, 2.150000, 0.769601
200, 2.175000, 0.778110
200, 2.200000, 0.786880
200, 2.225000, 0.793187
200, 2.250000, 0.799016
200, 2.275000, 0.805721
200, 2.300000, 0.812104
200, 2.325000, 0.820636
200, 2.350000, 0.828338
200, 2.375000, 0.834891
200, 2.400000, 0.840125
200, 2.425000, 0.824952
200, 2.450000, 0.829052
200, 2.475000, 0.835463
200, 2.500000, 0.840601
200, 2.525000, 0.844501
200, 2.550000, 0.848060
200, 2.575000, 0.851432
200, 2.600000, 0.854657
200, 2.625000, 0.858468
200, 2.650000, 0.862277
200, 2.675000, 0.866405
200, 2.700000, 0.870434
200, 2.725000, 0.874888
200, 2.750000, 0.878249
200, 2.775000, 0.881730
200, 2.800000, 0.885848
200, 2.825000, 0.890124
200, 2.850000, 0.893289
200, 2.875000, 0.896878
200, 2.900000, 0.899816
200, 2.925000, 0.902463
200, 2.950000, 0.904788
200, 2.975000, 0.906992
200, 3.000000, 0.909009
200, 3.025000, 0.910998
200, 3.050000, 0.912838
200, 3.075000, 0.914606
200, 3.100000, 0.916308
200, 3.125000, 0.917874
200, 3.150000, 0.919403
200, 3.175000, 0.920916
200, 3.200000, 0.922340
200, 3.225000, 0.923718
200, 3.250000, 0.925075
200, 3.275000, 0.926426
200, 3.300000, 0.928323
200, 3.325000, 0.930297
200, 3.350000, 0.932165
200, 3.375000, 0.937271
200, 3.400000, 0.938483
200, 3.425000, 0.939928
200, 3.450000, 0.941488
200, 3.475000, 0.942774
200, 3.500000, 0.943960
200, 3.525000, 0.945076
200, 3.550000, 0.946139
200, 3.575000, 0.947155
200, 3.600000, 0.948130
200, 3.625000, 0.949070
200, 3.650000, 0.949976
200, 3.675000, 0.950851
200, 3.700000, 0.951698
200, 3.725000, 0.952518
200, 3.750000, 0.953312
200, 3.775000, 0.954084
200, 3.800000, 0.954832
200, 3.825000, 0.955560
200, 3.850000, 0.956267
200, 3.875000, 0.956955
200, 3.900000, 0.957625
200, 3.925000, 0.958276
200, 3.950000, 0.958911
200, 3.975000, 0.959530
200, 4.000000, 0.960133
200, 4.025000, 0.960722
200, 4.050000, 0.961296
200, 4.075000, 0.961856
200, 4.100000, 0.962403
200, 4.125000, 0.962937
200, 4.150000, 0.963458
200, 4.175000, 0.963968
200, 4.200000, 0.964466
200, 4.225000, 0.964953
200, 4.250000, 0.965429
200, 4.275000, 0.965895
200, 4.300000, 0.966351
200, 4.325000, 0.973908
200, 4.350000, 0.974238
200, 4.375000, 0.974560
200, 4.400000, 0.974877
200, 4.425000, 0.975187
200, 4.450000, 0.975492
200, 4.475000, 0.975790
200, 4.500000, 0.976083
1000, 0.000000, 0.041493
1000, 0.025000, 0.041626
1000, 0.050000, 0.041772
1000, 0.075000, 0.041932
1000, 0.100000, 0.042106
1000, 0.125000, 0.042296
1000, 0.150000, 0.042501
1000, 0.175000, 0.042722
1000, 0.200000, 0.042959
1000, 0.225000, 0.044053
1000, 0.250000, 0.044510
1000, 0.275000, 0.044993
1000, 0.300000, 0.045502
1000, 0.325000, 0.046037
1000, 0.350000, 0.046598
1000, 0.375000, 0.047188
1000, 0.400000, 0.047807
1000, 0.425000, 0.048456
1000, 0.450000, 0.049137
1000, 0.475000, 0.049851
